Entity	Label1	Label2
http://purl.obolibrary.org/obo/LANG_1000218	Qawasqar	
http://purl.obolibrary.org/obo/LANG_1000219	Alladian	
http://purl.obolibrary.org/obo/LANG_1000220	Aleut	Aleutisch
http://purl.obolibrary.org/obo/LANG_1000221	Alege	
http://purl.obolibrary.org/obo/LANG_1000222	Alawa	
http://purl.obolibrary.org/obo/LANG_1000223	Amaimon	
http://purl.obolibrary.org/obo/LANG_1000224	Alangan	
http://purl.obolibrary.org/obo/LANG_1000225	Alak	
http://purl.obolibrary.org/obo/LANG_1000226	Allar	
http://purl.obolibrary.org/obo/LANG_1000227	Amblong	
http://purl.obolibrary.org/obo/LANG_1000228	Gheg Albanian	
http://purl.obolibrary.org/obo/LANG_1000229	Larike-Wakasihu	
http://purl.obolibrary.org/obo/LANG_1000230	Alune	
http://purl.obolibrary.org/obo/LANG_1000231	Algonquin	
http://purl.obolibrary.org/obo/LANG_1000232	Alutor	
http://purl.obolibrary.org/obo/LANG_1000233	Tosk Albanian	
http://purl.obolibrary.org/obo/LANG_1000234	Southern Altai	Altaisch
http://purl.obolibrary.org/obo/LANG_1000235	'Are'are	
http://purl.obolibrary.org/obo/LANG_1000236	Alaba-K’abeena	
http://purl.obolibrary.org/obo/LANG_1000237	Amol	
http://purl.obolibrary.org/obo/LANG_1000238	Alyawarr	
http://purl.obolibrary.org/obo/LANG_1000239	Alur	
http://purl.obolibrary.org/obo/LANG_1000240	Amanayé	
http://purl.obolibrary.org/obo/LANG_1000241	Ambo	
http://purl.obolibrary.org/obo/LANG_1000242	Amahuaca	
http://purl.obolibrary.org/obo/LANG_1000243	Yanesha'	
http://purl.obolibrary.org/obo/LANG_1000244	Hamer-Banna	
http://purl.obolibrary.org/obo/LANG_1000245	Amurdak	
http://purl.obolibrary.org/obo/LANG_1000246	Amharic	Amharisch
http://purl.obolibrary.org/obo/LANG_1000247	Amis	
http://purl.obolibrary.org/obo/LANG_1000248	Amdang	
http://purl.obolibrary.org/obo/LANG_1000249	Ambai	
http://purl.obolibrary.org/obo/LANG_1000250	War-Jaintia	
http://purl.obolibrary.org/obo/LANG_1000251	Ama (Papua New Guinea)	
http://purl.obolibrary.org/obo/LANG_1000252	Amanab	
http://purl.obolibrary.org/obo/LANG_1000253	Amo	
http://purl.obolibrary.org/obo/LANG_1000254	Alamblak	
http://purl.obolibrary.org/obo/LANG_1000255	Amahai	
http://purl.obolibrary.org/obo/LANG_1000256	Amarakaeri	
http://purl.obolibrary.org/obo/LANG_1000257	Southern Amami-Oshima	
http://purl.obolibrary.org/obo/LANG_1000258	Amto	
http://purl.obolibrary.org/obo/LANG_1000259	Guerrero Amuzgo	
http://purl.obolibrary.org/obo/LANG_1000260	Ambelau	
http://purl.obolibrary.org/obo/LANG_1000261	Western Neo-Aramaic	
http://purl.obolibrary.org/obo/LANG_1000262	Anmatyerre	
http://purl.obolibrary.org/obo/LANG_1000263	Ami	
http://purl.obolibrary.org/obo/LANG_1000264	Atampaya	
http://purl.obolibrary.org/obo/LANG_1000265	Andaqui	
http://purl.obolibrary.org/obo/LANG_1000266	Andoa	
http://purl.obolibrary.org/obo/LANG_1000267	Ngas	
http://purl.obolibrary.org/obo/LANG_1000268	Ansus	
http://purl.obolibrary.org/obo/LANG_1000269	Xârâcùù	
http://purl.obolibrary.org/obo/LANG_1000270	Animere	
http://purl.obolibrary.org/obo/LANG_1000271	Old English (ca. 450-1100)	Altenglisch
http://purl.obolibrary.org/obo/LANG_1000272	Nend	
http://purl.obolibrary.org/obo/LANG_1000273	Andi	
http://purl.obolibrary.org/obo/LANG_1000274	Anor	
http://purl.obolibrary.org/obo/LANG_1000275	Goemai	
http://purl.obolibrary.org/obo/LANG_1000276	Anu-Hkongso Chin	
http://purl.obolibrary.org/obo/LANG_1000277	Anal	
http://purl.obolibrary.org/obo/LANG_1000278	Obolo	
